Date,Open,High,Low,Close,Adj Close,Volume
01/06/18,10738.4502,10764.75,10681.5,10696.2002,10696.2002,220600
04/06/18,10765.9502,10770.29981,10618.34961,10628.5,10628.5,203800
05/06/18,10630.7002,10633.15039,10550.90039,10593.15039,10593.15039,167700
06/06/18,10603.4502,10698.34961,10587.5,10684.65039,10684.65039,189900
07/06/18,10722.59961,10818,10722.59961,10768.34961,10768.34961,220900
08/06/18,10736.40039,10779.4502,10709.04981,10767.65039,10767.65039,209400
11/06/18,10781.84961,10850.54981,10777.04981,10786.9502,10786.9502,211400
12/06/18,10816.15039,10856.54981,10789.40039,10842.84961,10842.84961,198300
13/06/18,10887.5,10893.25,10842.65039,10856.7002,10856.7002,213400
14/06/18,10832.90039,10833.7002,10773.54981,10808.04981,10808.04981,184300
15/06/18,10808.65039,10834,10755.40039,10817.7002,10817.7002,305400
18/06/18,10830.2002,10830.2002,10787.34961,10799.84961,10799.84961,196600
19/06/18,10789.4502,10789.4502,10701.2002,10710.4502,10710.4502,224500
20/06/18,10734.65039,10781.79981,10724.04981,10772.04981,10772.04981,193500
21/06/18,10808.4502,10809.59961,10725.90039,10741.09961,10741.09961,223600
22/06/18,10742.7002,10837,10710.4502,10821.84961,10821.84961,229800
25/06/18,10822.90039,10831.04981,10753.04981,10762.4502,10762.4502,229600
26/06/18,10742.7002,10805.25,10732.54981,10769.15039,10769.15039,220000
27/06/18,10785.5,10785.5,10652.40039,10671.40039,10671.40039,246000
28/06/18,10660.79981,10674.2002,10557.7002,10589.09961,10589.09961,352300
29/06/18,10612.84961,10723.04981,10612.34961,10714.29981,10714.29981,242800
02/07/18,10732.34961,10736.15039,10604.65039,10657.29981,10657.29981,295400
03/07/18,10668.59961,10713.29981,10630.25,10699.90039,10699.90039,202100
04/07/18,10715,10777.15039,10677.75,10769.90039,10769.90039,173900
05/07/18,10786.04981,10786.04981,10726.25,10749.75,10749.75,220500
06/07/18,10744.15039,10816.34961,10735.04981,10772.65039,10772.65039,0
09/07/18,10838.29981,10860.34961,10807.15039,10852.90039,10852.90039,183600
10/07/18,10902.75,10956.90039,10876.65039,10947.25,10947.25,197000
11/07/18,10956.40039,10976.65039,10923,10948.29981,10948.29981,222300
12/07/18,11006.9502,11078.29981,10999.65039,11023.2002,11023.2002,248300
13/07/18,11056.90039,11071.34961,10999.75,11018.90039,11018.90039,0
16/07/18,11018.9502,11019.5,10926.25,10936.84961,10936.84961,210500
17/07/18,10939.65039,11018.5,10925.59961,11008.04981,11008.04981,210600
18/07/18,11060.2002,11076.2002,10956.29981,10980.4502,10980.4502,225500
19/07/18,10999.5,11006.5,10935.4502,10957.09961,10957.09961,215400
20/07/18,10963.5,11030.25,10946.2002,11010.2002,11010.2002,187300
23/07/18,11019.84961,11093.40039,11010.9502,11084.75,11084.75,229100
24/07/18,11109,11143.40039,11092.5,11134.29981,11134.29981,205800
25/07/18,11148.40039,11157.15039,11113.25,11132,11132,205900
26/07/18,11132.9502,11185.84961,11125.7002,11167.29981,11167.29981,365400
27/07/18,11232.75,11283.40039,11210.25,11278.34961,11278.34961,314600
30/07/18,11296.65039,11328.09961,11261.4502,11319.54981,11319.54981,278800
31/07/18,11311.04981,11366,11267.75,11356.5,11356.5,256500
01/08/18,11359.79981,11390.54981,11313.54981,11346.2002,11346.2002,269700
02/08/18,11328.90039,11328.90039,11234.9502,11244.7002,11244.7002,210000
03/08/18,11297.79981,11368,11294.54981,11360.79981,11360.79981,218300
06/08/18,11401.5,11427.65039,11370.59961,11387.09961,11387.09961,203700
07/08/18,11423.15039,11428.9502,11359.7002,11389.4502,11389.4502,226400
08/08/18,11412.5,11459.9502,11379.29981,11450,11450,210500
09/08/18,11493.25,11495.2002,11454.09961,11470.7002,11470.7002,302200
10/08/18,11474.9502,11478.75,11419.65039,11429.5,11429.5,0
13/08/18,11369.59961,11406.29981,11340.29981,11355.75,11355.75,246900
14/08/18,11381.7002,11452.4502,11370.79981,11435.09961,11435.09961,232600
16/08/18,11397.15039,11449.84961,11366.25,11385.04981,11385.04981,290600
17/08/18,11437.15039,11486.4502,11431.79981,11470.75,11470.75,234700
20/08/18,11502.09961,11565.29981,11499.65039,11551.75,11551.75,232600
21/08/18,11576.2002,11581.75,11539.59961,11570.90039,11570.90039,224200
23/08/18,11620.7002,11620.7002,11546.7002,11582.75,11582.75,248500
24/08/18,11566.59961,11604.59961,11532,11557.09961,11557.09961,218800
27/08/18,11605.84961,11700.9502,11595.59961,11691.9502,11691.9502,199500
28/08/18,11731.9502,11760.2002,11710.5,11738.5,11738.5,241900
29/08/18,11744.9502,11753.2002,11678.84961,11691.90039,11691.90039,251600
30/08/18,11694.75,11698.79981,11639.7002,11676.79981,11676.79981,313800
31/08/18,11675.84961,11727.65039,11640.09961,11680.5,11680.5,346500
03/09/18,11751.79981,11751.79981,11567.40039,11582.34961,11582.34961,234400
04/09/18,11598.75,11602.54981,11496.84961,11520.29981,11520.29981,254800
05/09/18,11514.84961,11542.65039,11393.84961,11476.9502,11476.9502,246100
06/09/18,11514.15039,11562.25,11436.04981,11536.90039,11536.90039,247900
07/09/18,11558.25,11603,11484.40039,11589.09961,11589.09961,295900
10/09/18,11570.25,11573,11427.29981,11438.09961,11438.09961,286700
11/09/18,11476.84961,11479.40039,11274,11287.5,11287.5,0
12/09/18,11340.09961,11380.75,11250.2002,11369.90039,11369.90039,268200
14/09/18,11443.5,11523.25,11430.54981,11515.2002,11515.2002,276600
17/09/18,11464.9502,11464.9502,11366.90039,11377.75,11377.75,201400
18/09/18,11381.54981,11411.4502,11268.9502,11278.90039,11278.90039,240900
19/09/18,11326.65039,11332.04981,11210.90039,11234.34961,11234.34961,250600
21/09/18,11271.29981,11346.79981,10866.4502,11143.09961,11143.09961,719000
24/09/18,11164.40039,11170.15039,10943.59961,10967.40039,10967.40039,0
25/09/18,10969.9502,11080.59961,10882.84961,11067.4502,11067.4502,405000
26/09/18,11145.54981,11145.54981,10993.04981,11053.79981,11053.79981,340500
27/09/18,11079.79981,11089.4502,10953.34961,10977.54981,10977.54981,405700
28/09/18,11008.09961,11034.09961,10850.29981,10930.4502,10930.4502,478100
01/10/18,10930.90039,11035.65039,10821.54981,11008.29981,11008.29981,387000
03/10/18,10982.7002,10989.04981,10843.75,10858.25,10858.25,386800
04/10/18,10754.7002,10754.7002,10547.25,10599.25,10599.25,425100
05/10/18,10514.09961,10540.65039,10261.90039,10316.4502,10316.4502,606400
08/10/18,10310.15039,10398.34961,10198.40039,10348.04981,10348.04981,456200
09/10/18,10390.29981,10397.59961,10279.34961,10301.04981,10301.04981,430500
10/10/18,10331.84961,10482.34961,10318.25,10460.09961,10460.09961,0
11/10/18,10169.79981,10335.9502,10138.59961,10234.65039,10234.65039,483500
12/10/18,10331.54981,10492.4502,10322.15039,10472.5,10472.5,343500
15/10/18,10524.2002,10526.29981,10410.15039,10512.5,10512.5,259500
16/10/18,10550.15039,10604.90039,10525.29981,10584.75,10584.75,265200
17/10/18,10688.7002,10710.15039,10436.4502,10453.04981,10453.04981,284800
19/10/18,10339.7002,10380.09961,10249.59961,10303.54981,10303.54981,357500
22/10/18,10405.84961,10408.54981,10224,10245.25,10245.25,297300
23/10/18,10152.59961,10222.09961,10102.34961,10146.79981,10146.79981,302600
24/10/18,10278.15039,10290.65039,10126.7002,10224.75,10224.75,351400
25/10/18,10135.04981,10166.59961,10079.29981,10124.90039,10124.90039,0
26/10/18,10122.34961,10128.84961,10004.54981,10030,10030,364300
29/10/18,10078.09961,10275.29981,10020.34961,10250.84961,10250.84961,364400
30/10/18,10239.40039,10285.09961,10175.34961,10198.40039,10198.40039,289800
31/10/18,10209.54981,10396,10105.09961,10386.59961,10386.59961,375000
01/11/18,10441.7002,10441.90039,10341.90039,10380.4502,10380.4502,348500
02/11/18,10462.29981,10606.9502,10457.7002,10553,10553,421200
05/11/18,10558.75,10558.79981,10477,10524,10524,301900
06/11/18,10552,10600.25,10491.4502,10530,10530,0
07/11/18,10614.4502,10616.4502,10582.29981,10598.40039,10598.40039,31200
09/11/18,10614.7002,10619.54981,10544.84961,10585.2002,10585.2002,296600
12/11/18,10607.79981,10645.5,10464.04981,10482.2002,10482.2002,259700
13/11/18,10451.90039,10596.25,10440.54981,10582.5,10582.5,254600
14/11/18,10634.90039,10651.59961,10532.7002,10576.29981,10576.29981,384500
15/11/18,10580.59961,10646.5,10557.5,10616.7002,10616.7002,0
16/11/18,10644,10695.15039,10631.15039,10682.2002,10682.2002,342800
19/11/18,10731.25,10774.7002,10688.79981,10763.40039,10763.40039,272100
20/11/18,10740.09961,10740.84961,10640.84961,10656.2002,10656.2002,295200
21/11/18,10670.9502,10671.29981,10562.34961,10600.04981,10600.04981,300900
22/11/18,10612.65039,10646.25,10512,10526.75,10526.75,239500
26/11/18,10568.29981,10637.79981,10489.75,10628.59961,10628.59961,0
27/11/18,10621.4502,10695.15039,10596.34961,10685.59961,10685.59961,0
28/11/18,10708.75,10757.79981,10699.84961,10728.84961,10728.84961,424500
29/11/18,10808.7002,10883.04981,10782.34961,10858.7002,10858.7002,691300
30/11/18,10892.09961,10922.4502,10835.09961,10876.75,10876.75,453900
03/12/18,10930.7002,10941.2002,10845.34961,10883.75,10883.75,409700
04/12/18,10877.09961,10890.9502,10833.34961,10869.5,10869.5,322100
05/12/18,10820.4502,10821.04981,10747.9502,10782.90039,10782.90039,312300
06/12/18,10718.15039,10722.65039,10588.25,10601.15039,10601.15039,318500
07/12/18,10644.79981,10704.54981,10599.34961,10693.7002,10693.7002,325800
10/12/18,10508.7002,10558.84961,10474.9502,10488.4502,10488.4502,381300
11/12/18,10350.04981,10567.15039,10333.84961,10549.15039,10549.15039,425500
12/12/18,10591,10752.2002,10560.79981,10737.59961,10737.59961,360500
13/12/18,10810.75,10838.59961,10749.5,10791.54981,10791.54981,376200
14/12/18,10784.5,10815.75,10752.09961,10805.4502,10805.4502,340100
17/12/18,10853.2002,10900.34961,10844.84961,10888.34961,10888.34961,296900
18/12/18,10850.90039,10915.40039,10819.09961,10908.7002,10908.7002,286100
19/12/18,10930.54981,10985.15039,10928,10967.29981,10967.29981,312100
20/12/18,10885.2002,10962.54981,10880.04981,10951.7002,10951.7002,318900
21/12/18,10944.25,10963.65039,10738.65039,10754,10754,377500
24/12/18,10780.90039,10782.29981,10649.25,10663.5,10663.5,223400
26/12/18,10635.4502,10747.5,10534.54981,10729.84961,10729.84961,263700
27/12/18,10817.90039,10834.2002,10764.4502,10779.79981,10779.79981,456100
28/12/18,10820.9502,10893.59961,10817.15039,10859.90039,10859.90039,245500
31/12/18,10913.2002,10923.54981,10853.2002,10862.54981,10862.54981,180900
02/01/19,10868.84961,10895.34961,10735.04981,10792.5,10792.5,300400
03/01/19,10796.79981,10814.04981,10661.25,10672.25,10672.25,277600
04/01/19,10699.7002,10741.04981,10628.65039,10727.34961,10727.34961,287700
07/01/19,10804.84961,10835.9502,10750.15039,10771.79981,10771.79981,261300
08/01/19,10786.25,10818.4502,10733.25,10802.15039,10802.15039,269400
09/01/19,10862.40039,10870.40039,10749.40039,10855.15039,10855.15039,323000
10/01/19,10859.34961,10859.34961,10801.79981,10821.59961,10821.59961,246800
11/01/19,10834.75,10850.15039,10739.40039,10794.9502,10794.9502,253000
14/01/19,10807,10808,10692.34961,10737.59961,10737.59961,289800
15/01/19,10777.54981,10896.9502,10777.54981,10886.79981,10886.79981,301400
16/01/19,10899.65039,10928.15039,10876.90039,10890.29981,10890.29981,268200
17/01/19,10920.84961,10930.65039,10844.65039,10905.2002,10905.2002,263500
18/01/19,10914.84961,10928.2002,10852.2002,10906.9502,10906.9502,314100
21/01/19,10919.34961,10987.4502,10885.75,10961.84961,10961.84961,280100
22/01/19,10949.79981,10949.79981,10864.15039,10922.75,10922.75,291800
23/01/19,10931.04981,10944.79981,10811.9502,10831.5,10831.5,0
24/01/19,10844.04981,10866.59961,10798.65039,10849.79981,10849.79981,350300
