Date,Open,High,Low,Close,Adj Close,Volume
2019-03-19,2026.000000,2030.000000,1996.400024,2024.699951,2024.699951,82270
2019-03-20,2025.000000,2044.599976,2002.000000,2015.500000,2015.500000,154786
2019-03-22,2015.500000,2015.500000,1985.500000,2004.650024,2004.650024,151043
2019-03-25,2007.000000,2010.000000,1979.300049,1986.900024,1986.900024,535545
2019-03-26,1985.000000,1994.000000,1959.000000,1981.800049,1981.800049,133616
2019-03-27,1985.000000,1998.250000,1961.000000,1968.199951,1968.199951,125014
2019-03-28,1978.000000,2010.949951,1972.400024,2000.449951,2000.449951,204930
2019-04-01,2010.000000,2040.000000,2009.250000,2031.300049,2031.300049,532795
2019-04-02,2040.000000,2084.000000,2035.550049,2079.500000,2079.500000,156214
2019-04-03,2089.800049,2089.800049,2060.000000,2080.250000,2080.250000,126061
2019-04-04,2080.000000,2080.750000,2006.000000,2014.300049,2014.300049,150806
2019-04-05,2029.699951,2058.949951,2020.000000,2051.449951,2051.449951,152384
2019-04-08,2060.000000,2078.000000,2033.550049,2069.750000,2069.750000,112239
2019-04-09,2074.699951,2096.100098,2057.000000,2088.100098,2088.100098,124591
2019-04-10,2098.600098,2098.600098,2038.550049,2043.800049,2043.800049,108591
2019-04-11,2048.000000,2055.300049,2012.349976,2019.050049,2019.050049,133391
2019-04-12,2040.000000,2040.000000,2008.050049,2013.750000,2013.750000,164813
2019-04-15,2071.000000,2115.000000,2041.050049,2110.050049,2110.050049,397080
2019-04-16,2116.000000,2153.800049,2116.000000,2132.449951,2132.449951,237129
2019-04-18,2141.000000,2150.050049,2116.300049,2145.500000,2145.500000,88311
