Date,Open,High,Low,Close,Adj Close,Volume
2019-03-19,407.100006,410.000000,402.700012,407.649994,407.649994,201161
2019-03-20,407.649994,408.000000,385.549988,389.049988,389.049988,245413
2019-03-22,388.899994,394.000000,376.649994,379.649994,379.649994,206996
2019-03-25,377.799988,385.700012,375.100006,383.950012,383.950012,141936
2019-03-26,385.000000,389.049988,376.799988,383.350006,383.350006,229037
2019-03-27,384.899994,385.950012,377.350006,378.649994,378.649994,84861
2019-03-28,379.899994,388.850006,378.700012,385.350006,385.350006,122215
2019-04-01,395.250000,398.899994,390.250000,391.850006,391.850006,94604
2019-04-02,388.100006,391.399994,378.000000,380.549988,380.549988,673824
2019-04-03,381.000000,381.750000,363.000000,364.350006,364.350006,306363
2019-04-04,364.799988,364.799988,353.600006,354.750000,354.750000,281343
2019-04-05,354.399994,359.600006,354.399994,358.149994,358.149994,137172
2019-04-08,357.700012,357.700012,349.500000,351.200012,351.200012,118362
2019-04-09,347.000000,357.450012,345.250000,356.100006,356.100006,987590
2019-04-10,357.000000,359.500000,353.399994,357.149994,357.149994,625032
2019-04-11,357.899994,363.799988,357.399994,361.100006,361.100006,330636
2019-04-12,363.000000,367.750000,358.500000,360.600006,360.600006,152984
2019-04-15,362.450012,363.000000,357.000000,358.799988,358.799988,68611
2019-04-16,361.149994,362.100006,354.950012,357.200012,357.200012,903057
2019-04-18,357.899994,364.600006,353.649994,362.149994,362.149994,130252
